Locations,Season,Leg,Longitude,Latitude
 Romanshorn Romanshorn railway station ,3,8,9.370152,47.56373
Neuhausen am Rheinfall Rheinfall,3,8,8.616389,47.67944
 Schaffhausen Schaffhausen railway station ,3,8,8.641442,47.70777
Zürich Lindenhof ,3,8,8.541318,47.37218
Zürich Hauptbahnhof ,3,8,8.539203,47.37819
Grindelwald Field ,3,8,8.030959,46.62489
Grindelwald Chalet Arnika ,3,8,7.920841,46.59849
Grindelwald Gletscherschlucht,3,9,8.046311,46.61346
Kandersteg Cheesemaking cabin ,3,9,7.672757,46.4935
Niouc Val d'Anniviers  Red Bridge ,3,9,7.551753,46.27076
Veytaux Chateau de Chillon ,3,9,6.927492,46.41421
Montreux Steamship Savoie ,3,9,6.910275,46.436
Lausanne ,3,10,6.633597,46.51996
 Geneva Geneva Cointrin International Airport,3,10,6.109156,46.23701
Kuala Lumpur Petronas Twin Towers,3,10,101.7117,3.15785
Kuala Lumpur Ampang Park Shopping Center,3,10,101.7193,3.16042
 Kuala Lumpur Kuala Lumpur Sentral ,3,10,101.6869,3.133733
Singapore National Orchid Garden,3,10,103.814,1.312982
 Singapore Choa Chu Kang apartments,3,10,103.7491,1.398934
Singapore Suntec City  Fountain of Wealth ,3,10,103.8198,1.352083
Singapore Mount Faber ,3,10,103.8178,1.273611
 Singapore Singapore Changi Airport ,3,11,103.9915,1.36442
Ho Chi Minh City Rex Square  Bac Ho Statue,3,11,106.6297,10.8231
Cai Be,3,11,106.0298,10.33673
Ho Chi Minh City 2A Ton Duc Thang Street at the edge of Saigon River ,3,11,106.7069,10.78173
Ho Chi Minh City Cafe Thu Thiem ,3,11,106.7046,10.78129
 Ho Chi Minh City Saigon Train Station ,3,12,106.6297,10.8231
"Hu Imperial City  Hin Lam Cac Pavilion (from here https://www.google.com/maps/place/Hi%E1%BB%83n+L%C3%A2m+C%C3%A1c,+Hai+M%C6%B0%C6%A1i+Ba+Th%C3%A1ng+T%C3%A1m,+Thu%E1%BA%ADn+Th%C3%A0nh,+tp.+Hu%E1%BA%BF,+Th%E1%BB%ABa+Thi%C3%AAn+Hu%E1%BA%BF,+Vietnam/@16.46677,107.5770963,17z/data=!4m7!1m4!3m3!1s0x3141a1339cc471e1:0x19d25290eabd3add!2zSGnhu4NuIEzDom0gQ8OhYywgSGFpIE3GsMahaSBCYSBUaMOhbmcgVMOhbSwgVGh14bqtbiBUaMOgbmgsIHRwLiBIdeG6vywgVGjhu6thIFRoacOqbiBIdeG6vywgVmlldG5hbQ!3b1!3m1!1s0x3141a1339cc471e1:0x19d25290eabd3add)",3,12,107.577,16.4667
Da Nang Bridge ,3,12,108.2022,16.05441
 Bach Dang Street ,3,12,105.9013,19.77269
Hi An Thu Bn River,3,12,108.2533,15.86428
Hi An China Beach ,3,12,124.0006,39.80828
Da Nang Quang Minh Temple,3,13,108.2022,16.05441
Da Nang train,3,13,108.2022,16.05441
 Hanoi Noi Bai International Airport ,3,13,105.8042,21.21871
Haleiwa Puaena Point,3,13,-158.1051,21.60227
 Honolulu Honolulu International Airport to Lihue Kauai Lihue Airport,3,13,-157.9251,21.32451
Kauai Wailua Falls ,3,13,-159.3789,22.03457
 Lihue Lihue Airport to Seattle Washington SeattleTacoma International Airport,3,13,-159.3438,21.97885
Seattle Kerry Park,3,13,-122.3601,47.62955
Seattle Seattle Center  International Fountain,3,13,-122.3321,47.60621
Seattle Lincoln Park ,3,13,-122.3968,47.5292
Seattle Gas Works Park ,3,13,-122.3344,47.64563
Dodger Stadium,4,1,-118.2406,34.07274
 Los Angeles International Airport,4,1,-118.4085,33.94159
Milan Galleria Vittorio Emanuele II,4,1,9.189957,45.46563
 Milan Piazza Fontana,4,1,9.194228,45.46344
Cortina d'Ampezzo Passo Giau ,4,1,12.00944,46.51889
Cortina d'Ampezzo Cinque Torri ,4,1,12.05157,46.50987
Cortina d'Ampezzo Hotel Lajadira ,4,1,12.13565,46.54047
Cortina d'Ampezzo Trampolino Olimpico,4,2,12.14601,46.51037
 Cortina d'Ampezzo Calalzo Train Station or Alpi Train Station to Venice Stazione Ferroviaria di Venezia Santa Lucia,4,2,12.13565,46.54047
Venice Ponte delle Guglie ,4,2,12.32553,45.44366
Venice Rialto Bridge ,4,2,12.3359,45.43798
Venice Campo Querini Stampalia,4,2,12.34093,45.43643
Venice Palazzo da Mosto ,4,2,12.31552,45.44085
Venice Citta di Padova Boat  Palazzo Ducale Laguna Veneta ,4,2,12.31552,45.44085
Stazione di Venezia Santa Lucia,4,3,12.32104,45.44107
Wien Kanal German Historic Sewers ,4,3,16.37382,48.20817
 Johann Strauss II Monument at Stadtpark,4,3,16.37382,48.20817
Vienna Schönbrunn Palace ,4,3,6.951738,50.61912
 Vienna Mozart House or Beethoven House,4,3,16.37382,48.20817
Vienna Donauturm ,4,3,16.40987,48.24034
 Vienna Wien Westbahnhof/Wien Praterstern to Gmunden Bahnhof Gmunden,4,3,16.33743,48.19673
Gmunden Schloss Ort ,4,3,13.79203,47.91133
Attnang-Puchheim station,4,4,13.72039,48.01219
Salzburg Hauptbahnhof ,4,4,13.04561,47.81288
Munich Airport,4,4,11.77503,48.35366
Le Mans Pays de la Loire Gare du Mans,4,4,0.1992834,47.9487
Le Mans Circuit Bugatti ,4,4,0.2119889,47.93903
Marseille ProvenceAlpesCote d'Azur Porte 4 ,4,4,5.367234,43.29799
Aixen Provence Musee de Tapisseries ,4,4,5.44783,43.53153
Bagnolsen Foret Gorges du Blavet ,4,4,6.655596,43.50452
Saint Remy de Provence Chateau des Alpilles ,4,4,4.880927,43.74029
Marseille Provence Airport ,4,5,5.214414,43.43842
Amsterdam Magere Brug,4,5,4.902396,52.36359
Amsterdam Molen van Sloten Dutch ,4,5,4.792169,52.34141
Amsterdam Scheepvaart Museum ,4,5,4.914866,52.37169
Monnickendam The Netherlands Statue of a man smoking eels,4,5,5.039232,52.45557
Muiden Kasteel Muiderslot ,4,5,5.071614,52.33414
 Amsterdam Amsterdam Airport Schiphol ,4,6,4.767424,52.30769
Mumbai Sanjay Gandhi National Park,4,6,72.90967,19.21072
Mumbai Film City  Studio 10,4,6,72.87418,19.17343
 Mumbai Dhobi Ghat or P Amarlel clothing shop,4,6,72.87766,19.07598
Mumbai Sassoon Docks  Indo Universal Engineering ,4,6,72.87766,19.07598
Mumbai Gateway of India ,4,6,72.83465,18.92198
 Panvel Panvel Station,4,7,73.11615,18.99221
Ernakulam National Highway 47,4,7,76.31768,9.975603
Alleppey Sports Field ,4,7,76.33885,9.498067
Alleppey Beach Road ,4,7,76.31887,9.500216
Alleppey Punnamada Lake  ,4,7,76.35722,9.504825
 Kochi Cochin International Airport ,4,8,76.39296,10.15178
Penampang Monsopiad Cultural Village ,4,8,116.0535,5.867911
Kota Kinabalu Boat Jetty ,4,8,116.0735,5.980408
Tunku Abdul Rahman National Park ,4,8,115.9993,5.973544
Ranau Poring Hot Springs,4,9,-93.05518,34.5037
Sepilok Sepilok Orangutan Sanctuary ,4,9,-97.58419,32.90874
"Sandakan Trushidup Palm Oil Plantation  (Sandakan, Malaysia)",4,9,118.1172,5.839444
Kinabatangan Gomantong Caves ,4,9,118.067,5.51667
Sepilok Sepilok Nature Resort ,4,9,118.0611,5.901701
Sandakan Puu Jih Shih Temple,4,10,118.0868,5.834121
 Kota Kinabalu Kota Kinabalu International Airport ,4,10,116.0488,5.930746
Seoul Namsan Park  Seoul Tower,4,10,126.978,37.56654
Cheorwon Hantan River Sundam Valley  Rafting Korea ,4,10,127.3132,38.14661
Seoul Subway Station 228 ,4,10,126.978,37.56654
 Seoul Taekwondo dojang or Restaurant,4,10,126.978,37.56654
Seoul Gyeongbokgung Palace  Geunjeongjeon Hall ,4,10,126.978,37.56654
Seoul Hangang Park Korean on Yeouido Island,4,11,126.978,37.56654
 Seoul Incheon International Airport ,4,11,126.7945,37.55865
Sunshine Coast Beach ,4,11,153.0894,-26.65037
Brisbane Penthouse on Holiday Inn ,4,11,153.0234,-27.47101
Mooloolaba UnderWater World ,4,11,153.122,-26.6834
Mooloolaba Yacht Club ,4,11,153.1173,-26.67787
Ferny Hills Woolshed,4,12,152.9297,-27.39444
Brisbane Airport ,4,12,153.1218,-27.39421
Palm Cove Wild World,4,12,145.671,-16.74431
Cairns Region Wangetti Beach ,4,12,145.5716,-16.66576
Julatten Off Road Rush ,4,12,145.3426,-16.60742
Cairns Region Ellis Beach ,4,12,145.6351,-16.71208
Smithfield Tjapukai Aboriginal Cultural Park,4,13,-78.33945,35.50849
Cairns Cairns International Airport  ,4,13,145.7499,-16.87776
 Cairns Cairns International Airport,4,13,145.7499,-16.87776
Big Island ,4,13,-155.6659,19.54292
Big Island Hawaii Volcanoes National Park,4,13,-155.2,19.38334
 Hilo Hilo International Airport,4,13,-155.0417,19.71883
Phoenix USS Arizona Memorial,4,13,-112.074,33.44838
Tempe Sun Devil Stadium  South East Entrance,4,13,-111.94,33.42551
Phoenix Papago Park ,4,13,-111.949,33.45772
Santa Monica Pier ,5,1,-118.4975,34.00935
Los Angeles International Airport ,5,1,-118.4085,33.94159
 Montevideo Carrasco International Airport ,5,1,-56.03028,-34.83778
Punta del Este The Hand in the Sand,5,1,-54.95,-34.96667
 Gorriti Island Overnight Rest,5,1,54.97173,-34.95338
 Punta del Este Dock,5,1,-54.95,-34.96667
Maldonado Jose Francisco González Meat Warehouse ,5,1,-54.96118,-34.62776
Punta del Este Conrad Hotel ,5,1,-54.95,-34.96667
Punta Ballena Casapueblo ,5,1,-55.04491,-34.90887
Montevideo Shake Mega Disco,5,2,-56.16453,-34.90111
 Colonia del Sacramento Ferry Station ,5,2,-57.83391,-34.46072
Recoleta Cemetery  Grave of Evita Perón  ,5,2,-58.39344,-34.58748
San Antonio de Areco La Estancia La Invernada ,5,2,-59.46625,-34.24988
San Antonio de Areco La Porteña ,5,2,-59.46625,-34.24988
